mean_temp,max_temp,min_temp,LOESS_residuals
-20.025000000000002,-16.33,-23.03,-4.829242933283217
-15.195833333333328,-5.64,-22.49,-1.4306585616276468
-10.642083333333336,-3.28,-16.55,1.1682158743818238
-11.774166666666666,-6.76,-16.72,-2.371705256312925
-15.053333333333336,-9.85,-19.02,-3.9848840796930958
-11.30333333333333,-6.22,-16.33,1.6591685438914858
-14.757916666666668,-9.69,-19.96,-0.978532871752062
-14.090000000000002,-2.03,-21.19,-1.3776059163709249
-9.883749999999997,-0.6,-17.22,1.2152750908754566
-9.586666666666664,-4.45,-14.57,-1.021891177107216
-3.398333333333334,4.01,-10.5,2.135099129558119
-0.78375,4.49,-6.03,5.9584322558467475
-13.427083333333329,-7.31,-19.2,-5.345320412668171
-13.235416666666667,-4.31,-17.36,-4.338236694815126
-6.117916666666667,2.58,-11.9,1.6477735025907077
-2.970416666666667,3.5,-8.1,4.114755287213919
-4.755,2.47,-11.92,0.19511500766179157
-2.2416666666666663,2.32,-6.17,-0.11814104277555071
-5.453749999999999,0.62,-12.14,-1.4042354095452811
-4.539166666666666,-0.41,-7.67,1.942363183291473
-3.228333333333333,3.68,-8.26,5.1451246374004125
-5.908333333333334,-0.28,-12.14,1.3988227020442157
-13.686249999999996,-6.5,-20.06,-4.054078554693078
-7.571250000000002,1.15,-13.57,1.557688661025158
-7.275416666666666,-4.21,-10.34,0.2930593682606286
-11.277083333333332,-8.35,-13.79,-0.07653076500701594
-13.495833333333332,-8.39,-19.15,-0.3703824334444086
-17.407083333333336,-9.02,-24.47,-2.690932581597517
-14.561250000000003,-11.68,-18.93,-0.4550854666986268
-17.847916666666666,-13.3,-23.78,-2.6185699859594553
-16.635416666666668,-6.42,-23.8,-3.6088275944292896
-10.949583333333331,-3.02,-17.66,0.15748835503829817
-12.84916666666667,-5.47,-21.22,0.17527908240912637
-10.392083333333336,-3.58,-16.56,0.6819853947631351
-11.01375,-4.13,-15.66,-0.5058563503357014
-10.229999999999999,-0.95,-18.02,-1.6907399340561646
-5.09375,-1.5,-9.44,1.4932788198799773
-4.541250000000001,3.6,-11.45,-0.3400041037766437
-3.5133333333333336,2.07,-7.43,-0.23180623390150323
-4.165416666666667,4.94,-10.87,1.0810553295251673
-1.7470833333333342,5.06,-7.68,1.2263120572656003
-0.7875000000000005,8.25,-8.11,1.11255718136908
-0.6037499999999999,8.52,-6.87,0.3697554158665409
3.1275,13.29,-3.81,2.2372556294507193
5.1762500000000005,13.94,-2.26,4.826896737421254
-2.2095833333333332,9.42,-6.83,-1.0599586049607341
-7.8125,-0.39,-12.27,-3.269607160271427
-5.8975,3.28,-12.28,-1.6299511691287076
-2.7558333333333334,6.31,-8.89,0.6413665088763816
-1.7308333333333323,7.96,-9.51,0.8007536640389525
-1.2566666666666662,4.5,-8.4,-0.7843678784329371
-3.32375,5.48,-8.97,-2.3766749695813854
-2.1145833333333326,4.07,-7.43,-0.00404905439037373
-5.056666666666666,2.14,-11.0,-0.14085280920004717
